timestamp,course,hear_website,hear_social,hear_community,hear_family,hear_student,hear_alumni,hear_teacher,hear_counselor,hear_app,hear_employer,hear_billboard,hear_tv,hear_radio,hear_other,impact_affordability,impact_location,impact_programs,impact_online,impact_referral,impact_faculty,impact_reputation,impact_finaid,impact_scholarships,impact_size,impact_ecs,impact_acceptcred,impact_negative,impact_njstars,impact_transferability,impact_hscredit,major,choice,interest,gender,race,age
2024/09/09 12:33:58 PM AST,CMP 128 Computer Science I,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,Some Impact,Mechanical Engineering Technologies ,Non-Major,2.0,Man,White/Caucasian,21-24
2024/09/09 6:00:11 PM AST,Course Unknown,No,No,Yes,No,No,No,Yes,Don't recall,No,No,No,No,No,Don't recall,Some Impact,Some Impact,Some Impact,No Impact,Not Applicable,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,Not Applicable,Not Applicable,No Impact,No Impact,Not Applicable,CIS Game Development Option,First Choice,0.0,Man,Hispanic or Latino;White/Caucasian;Multi-Racial,18 and younger
2024/09/10 9:00:12 AM AST,CMP 128 Computer Science I,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,High Impact,Some Impact,Some Impact,No Impact,High Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Computer Science,First Choice,0.0,Man,Hispanic or Latino;Asian,18 and younger
2024/09/10 12:34:53 PM AST,CMP 128 Computer Science I,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,High Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,High Impact,High Impact,No Impact,Mechanical Engineering,Non-Major,3.0,Man,Hispanic or Latino,19-20
2024/09/10 3:06:47 PM AST,CMP 128 Computer Science I,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Computer Science,First Choice,0.0,Man,Asian,19-20
2024/09/10 3:07:28 PM AST,CMP 128 Computer Science I,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Undecided,Non-Major,4.0,Man,White/Caucasian,21-24
2024/09/10 3:07:36 PM AST,CMP 128 Computer Science I,Yes,Yes,Don't recall,Yes,No,No,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Business Admin,Non-Major,2.0,Man,Asian,19-20
2024/09/10 3:07:42 PM AST,CMP 128 Computer Science I,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,Some Impact,Undecided,Non-Major,3.0,Woman,Asian,19-20
2024/09/10 3:07:51 PM AST,CMP 128 Computer Science I,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,High Impact,High Impact,No Impact,"Technical Studies, Applied Associate of Science",First Choice,0.0,Woman,Hispanic or Latino,18 and younger
2024/09/10 3:08:06 PM AST,CMP 128 Computer Science I,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Computer Science,First Choice,0.0,Man,White/Caucasian,18 and younger
